날짜,포트폴리오 이름,캠페인 유형,캠페인 이름,리테일러,국가,상태,통화,예산,타겟팅 유형,입찰 전략,광고 노출 수,작년 광고 노출 수,클릭수,작년 클릭 수,CTR(클릭률),지출,작년 지출,클릭당 비용(CPC),작년 클릭당 비용(CPC),7일 총 주문(건수),"총 판매 광고 비용(ACOS) ",총 광고 수익률(ROAS),"7일 총 판매 "
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,18406,,184,,1.0%,$34.47,,$0.18733699999999998,$0.0,28,9.439%,10.59,$365.19
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,3600,,99,,2.75%,$10.1,,$0.10202019999999999,$0.0,15,3.936%,25.41,$256.62
"Jun 18, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,56,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 19, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,45,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 19, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,20568,,189,,0.919%,$35.6,,$0.1883598,$0.0,25,10.652000000000001%,9.39,$334.22
"Jun 19, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,3689,,52,,1.41%,$15.92,,$0.3061538,$0.0,9,16.031000000000002%,6.24,$99.31
"Jun 19, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,3321,,103,,3.101%,$10.12,,$0.0982524,$0.0,25,2.25%,44.45,$449.86
"Jun 19, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,241,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 20, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,66,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Jun 20, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,26445,,241,,0.911%,$43.63,,$0.18103729999999998,$0.0,23,15.065999999999999%,6.64,$289.59
"Jun 20, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,4702,,134,,2.85%,$13.28,,$0.09910450000000001,$0.0,21,4.9799999999999995%,20.08,$266.68
"Jun 20, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,216,,4,,1.8519999999999999%,$0.75,,$0.1875,$0.0,0,0.0%,0.0,$0.0
"Jun 20, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,7605,,169,,2.222%,$51.87,,$0.3069231,$0.0,42,11.218%,8.91,$462.4
"Jun 21, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,156,,4,,2.564%,$0.8,,$0.2,$0.0,1,4.02%,24.87,$19.9
"Jun 21, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,71,,1,,1.4080000000000001%,$0.1,,$0.1,$0.0,0,0.0%,0.0,$0.0
"Jun 21, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,22050,,257,,1.166%,$47.31,,$0.18408560000000002,$0.0,27,15.567%,6.42,$303.91
